"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tank Bigsby","PHI","RB60","85.6","419.4","3.2","3.3","29.3","0.1","0.2","63.9"
"Malik Washington","MIA","WR83","13.4","80.2","0.7","43.5","389.6","2.3","0.8","63.4"
"Evan Engram","DEN","TE30","0.0","0.0","0.0","53.5","471.8","2.7","0.1","63.2"
"Mike Washington Jr.","LV","RB61","92.8","352.5","2.1","15.2","121.4","0.6","0.7","62.5"
"Gunnar Helm","TEN","TE31","0.0","0.0","0.0","48.9","443.1","3.1","0.2","62.5"
"Malik Davis","DAL","RB62","81.8","382.7","2.8","8.7","67.3","0.2","0.1","62.4"
"Nick Westbrook-Ikhine","IND","WR84","0.0","0.0","0.0","34.3","432.7","3.0","0.3","60.9"
"Troy Franklin","DEN","WR85","3.0","10.8","0.0","36.5","395.9","3.4","0.6","60.1"
"David Njoku","LAC","TE32","0.0","0.0","0.0","38.5","358.2","4.0","0.1","59.9"
"Isaac TeSlaa","DET","WR86","0.0","0.0","0.0","25.4","351.8","4.1","0.1","59.6"
"Keaton Mitchell","LAC","RB63","85.2","395.4","1.9","11.5","82.7","0.2","0.7","59.2"
"Devaughn Vele","NO","WR87","0.0","0.0","0.0","35.1","422.8","2.8","0.1","59.1"
"Hollywood Brown","PHI","WR88","0.0","0.0","0.0","31.3","389.3","3.3","0.1","58.3"
"Jack Bech","LV","WR89","0.0","0.0","0.0","41.4","483.0","1.8","0.4","58.1"
"De'Zhaun Stribling","SF","WR90","1.5","6.5","0.0","32.3","437.4","2.5","0.6","58.1"
"Andrei Iosivas","CIN","WR91","2.5","11.1","0.0","31.1","393.6","2.9","0.1","57.8"
"Colby Parkinson","LAR","TE33","0.0","0.0","0.0","34.3","354.4","3.9","0.6","57.6"
"Caleb Douglas","MIA","WR92","1.0","5.5","0.0","34.6","440.0","2.3","0.7","57.2"
"Adam Randall","BAL","RB64","55.1","281.5","2.0","10.3","103.4","1.1","0.6","55.7"
